,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-12.810409
1,2.0,3.0,1.0,0.0,-6.501468
2,4.0,5.0,1.0,0.0,-6.508258
3,6.0,7.0,1.0,0.0,-4.503377
4,0.0,1.0,3.0,2.0,-6.501468
5,2.0,3.0,3.0,2.0,-6.337498
6,4.0,5.0,3.0,2.0,-4.235348
7,6.0,7.0,3.0,2.0,-4.087395
8,0.0,1.0,5.0,4.0,-6.508258
9,2.0,3.0,5.0,4.0,-4.235348
10,4.0,5.0,5.0,4.0,-6.32945
11,6.0,7.0,5.0,4.0,-4.095678
12,0.0,1.0,7.0,6.0,-4.503377
13,2.0,3.0,7.0,6.0,-4.087395
14,4.0,5.0,7.0,6.0,-4.095678
15,6.0,7.0,7.0,6.0,-3.338471
16,8.0,9.0,9.0,8.0,-12.609142
17,10.0,11.0,9.0,8.0,-6.387665
18,12.0,13.0,9.0,8.0,-6.394556
19,14.0,15.0,9.0,8.0,-4.347019
20,8.0,9.0,11.0,10.0,-6.387665
21,10.0,11.0,11.0,10.0,-6.208721
22,12.0,13.0,11.0,10.0,-4.149201
23,14.0,15.0,11.0,10.0,-3.943026
24,8.0,9.0,13.0,12.0,-6.394556
25,10.0,11.0,13.0,12.0,-4.149201
26,12.0,13.0,13.0,12.0,-6.200484
27,14.0,15.0,13.0,12.0,-3.950519
28,8.0,9.0,15.0,14.0,-4.347019
29,10.0,11.0,15.0,14.0,-3.943026
30,12.0,13.0,15.0,14.0,-3.950519
31,14.0,15.0,15.0,14.0,-3.17917
