,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,0.0,1.0,-12.59644
1,0.0,1.0,2.0,3.0,-5.80448
2,0.0,1.0,4.0,5.0,-5.83812
3,0.0,1.0,6.0,7.0,-4.24514
4,2.0,3.0,0.0,1.0,-5.80448
5,2.0,3.0,2.0,3.0,-5.61034
6,2.0,3.0,4.0,5.0,-3.76095
7,2.0,3.0,6.0,7.0,-3.74337
8,4.0,5.0,0.0,1.0,-5.83812
9,4.0,5.0,2.0,3.0,-3.76095
10,4.0,5.0,4.0,5.0,-5.60018
11,4.0,5.0,6.0,7.0,-3.75891
12,6.0,7.0,0.0,1.0,-4.24514
13,6.0,7.0,2.0,3.0,-3.74337
14,6.0,7.0,4.0,5.0,-3.75891
15,6.0,7.0,6.0,7.0,-3.11497
16,6.0,7.0,6.0,7.0,-11.95956
17,6.0,7.0,8.0,9.0,-6.19235
18,6.0,7.0,10.0,11.0,-6.22898
19,8.0,9.0,6.0,7.0,-6.19235
20,8.0,9.0,8.0,9.0,-6.16375
21,8.0,9.0,10.0,11.0,-4.1347
22,10.0,11.0,6.0,7.0,-6.22898
23,10.0,11.0,8.0,9.0,-4.1347
24,10.0,11.0,10.0,11.0,-6.15546
