,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.006
1,2.0,3.0,1.0,0.0,-0.006
2,4.0,5.0,1.0,0.0,-0.006
3,2.0,3.0,3.0,2.0,-0.006
4,4.0,5.0,3.0,2.0,-0.006
5,4.0,5.0,5.0,4.0,-0.006
6,6.0,7.0,7.0,6.0,-0.006
7,8.0,9.0,7.0,6.0,-0.007
8,10.0,11.0,7.0,6.0,-0.007
9,12.0,13.0,7.0,6.0,-0.007
10,14.0,15.0,7.0,6.0,-0.007
11,16.0,17.0,7.0,6.0,-0.007
12,18.0,19.0,7.0,6.0,-0.007
13,20.0,21.0,7.0,6.0,-0.007
14,8.0,9.0,9.0,8.0,-0.007
15,10.0,11.0,9.0,8.0,-0.007
16,12.0,13.0,9.0,8.0,-0.007
17,14.0,15.0,9.0,8.0,-0.007
18,16.0,17.0,9.0,8.0,-0.007
19,18.0,19.0,9.0,8.0,-0.007
20,20.0,21.0,9.0,8.0,-0.007
21,10.0,11.0,11.0,10.0,-0.007
22,12.0,13.0,11.0,10.0,-0.007
23,14.0,15.0,11.0,10.0,-0.007
24,16.0,17.0,11.0,10.0,-0.007
25,18.0,19.0,11.0,10.0,-0.007
26,20.0,21.0,11.0,10.0,-0.007
27,12.0,13.0,13.0,12.0,-0.007
28,14.0,15.0,13.0,12.0,-0.007
29,16.0,17.0,13.0,12.0,-0.007
30,18.0,19.0,13.0,12.0,-0.007
31,20.0,21.0,13.0,12.0,-0.007
32,14.0,15.0,15.0,14.0,-0.007
33,16.0,17.0,15.0,14.0,-0.007
34,18.0,19.0,15.0,14.0,-0.007
35,20.0,21.0,15.0,14.0,-0.007
36,16.0,17.0,17.0,16.0,-0.007
37,18.0,19.0,17.0,16.0,-0.007
38,20.0,21.0,17.0,16.0,-0.007
39,18.0,19.0,19.0,18.0,-0.007
40,20.0,21.0,19.0,18.0,-0.007
41,20.0,21.0,21.0,20.0,-0.007
